number of bedrooms,number of bathrooms,living area,lot area,number of floors,waterfront present,number of views,condition of the house,grade of the house,Area of the house(excluding basement),Area of the basement,Postal Code,Lattitude,Longitude,living_area_renov,lot_area_renov,Number of schools nearby,Distance from the airport,Price,house_age,years_since_renovation
3,2.09,1824,12003,1.47,1,1,3,7,1737,233,122034,52.81,-114.41,2069,10472,1,66,674089,48,47
3,2.22,2117,14418,1.5,1,1,3,7,1864,336,122035,52.82,-114.43,2077,15632,2,65,987835,50,47
3,2.28,2174,16925,1.39,1,1,3,7,1704,385,122035,52.81,-114.39,1925,20823,2,65,1002214,49,46
3,2.3,1888,17310,1.51,1,1,3,7,1823,368,122027,52.79,-114.38,2095,19049,1,64,586038,52,56
3,2.36,2007,11629,1.31,1,1,3,7,1679,284,122037,52.81,-114.37,1848,9731,2,63,617861,53,53
3,1.9,1995,10736,1.44,1,1,3,7,1827,322,122033,52.8,-114.38,1970,15361,1,65,660295,51,52
3,2.5,2580,214315,1.5,0,0,3,8,2580,0,122045,52.8765,-114.214,2580,70131,1,51,400000,78,38
3,2.5,1600,7936,2.0,0,0,3,7,1600,0,122024,52.5973,-114.207,1830,7936,3,76,280000,28,28
3,2.1,1882,20609,1.55,1,1,3,7,1813,183,122034,52.8,-114.42,2066,16543,2,63,659238,56,56
3,1.75,2870,5000,1.5,0,0,4,8,1840,1030,122054,52.8088,-114.482,2200,5000,1,66,802000,117,117
4,3.5,2734,210201,2.0,0,0,5,8,2734,0,122069,52.5952,-114.694,2270,187308,3,58,520000,50,50
1,1.0,800,2480,1.0,0,0,4,6,800,0,122059,52.7881,-114.506,1490,4650,1,65,267000,105,105
2,1.5,1480,7276,1.0,0,0,4,6,940,540,122053,52.7242,-114.356,1090,6710,1,61,269500,46,46
3,2.5,4310,32093,1.5,0,4,5,10,2510,1800,122050,52.9924,-114.57,3810,26400,1,59,1740000,42,42
3,1.75,1770,7875,1.0,0,0,4,7,1170,600,122029,52.836,-114.315,1670,8000,2,63,502550,66,66
4,1.5,2010,7561,1.5,0,0,4,7,1890,120,122072,52.541,-114.417,1420,6564,2,50,245000,103,103
3,1.0,1175,10454,1.0,0,0,4,6,1175,0,122048,52.8688,-114.408,2010,10800,1,64,775000,75,75
3,2.14,2274,9880,1.56,1,1,3,7,1637,329,122032,52.8,-114.41,2212,13325,1,66,996390,54,51
3,2.22,2087,1,1.48,1,1,3,7,1623,234,122035,52.83,-114.39,2011,11642,2,66,925219,51,54
3,2.29,2276,13532,1.41,1,1,3,7,1654,204,122029,52.8,-114.4,1854,11205,1,65,978424,52,48
3,2.5,3230,5000,2.0,0,2,5,8,2430,800,122007,52.9311,-114.579,1820,5000,2,50,850000,79,79
3,1.5,1810,100188,1.0,0,0,5,7,1810,0,122068,52.4475,-114.185,1540,40415,3,60,358000,55,55
3,1.75,1300,4800,2.0,0,1,4,7,1300,0,122016,52.7757,-114.573,1300,4800,3,74,448500,112,112
3,1.5,1150,11571,1.0,0,0,3,7,1150,0,122056,52.7231,-114.488,1630,11571,3,78,213500,63,63
3,2.25,1920,11500,1.0,0,0,3,8,1920,0,122027,52.7798,-114.378,2260,8866,3,51,515000,52,24
4,1.75,1760,4080,1.5,0,0,4,8,1760,0,122028,52.905,-114.521,1760,6120,1,60,810000,118,118
3,2.25,1450,1486,2.0,0,0,3,8,1160,290,122009,52.7994,-114.577,1370,1437,1,55,419700,18,18
3,2.07,2119,11108,1.56,1,1,3,7,1845,190,122035,52.79,-114.43,1823,17142,1,65,896141,53,53
3,2.5,4110,35741,2.0,0,0,3,7,4110,0,122010,52.8942,-114.361,2710,8865,3,62,1030000,48,48
3,2.15,2141,17117,1.49,1,1,3,7,1769,262,122032,52.8,-114.45,1815,9987,2,64,932320,60,43
4,1.0,1940,9533,1.0,0,0,3,7,1080,860,122067,52.6439,-114.398,1940,8839,2,63,265000,62,62
3,2.2,1968,16223,1.61,1,1,3,7,1684,227,122040,52.78,-114.42,1999,15932,1,64,564016,46,49
3,1.75,1680,8629,1.0,0,0,3,8,1200,480,122043,52.5962,-114.509,1990,8400,1,57,308000,47,47
3,2.25,2187,17958,1.36,1,1,3,7,1605,258,122035,52.81,-114.41,1893,11927,1,65,993370,54,59
3,1.0,910,7194,1.0,0,0,4,7,910,0,122039,52.5637,-114.465,1530,7200,1,70,182500,53,53
3,2.27,2006,13633,1.43,1,1,3,7,1992,252,122034,52.81,-114.44,2035,18198,2,66,757888,49,55
3,2.06,1811,16655,1.55,1,1,3,7,1664,253,122027,52.82,-114.43,2059,12602,2,63,691002,53,42
3,2.29,2072,20902,1.39,1,1,3,7,1830,272,122032,52.79,-114.43,2197,17091,2,66,865745,56,45
3,2.15,2191,18148,1.38,1,1,3,7,1695,113,122030,52.78,-114.37,1902,1,1,64,919182,41,53
3,2.29,1998,15322,1.61,1,1,3,7,1856,394,122029,52.82,-114.44,1936,21361,2,64,741968,63,45
3,1.75,1200,9266,1.0,0,0,4,7,1200,0,122072,52.544,-114.398,1200,9266,1,52,235000,64,64
3,2.25,1590,929,2.0,0,0,3,9,1060,530,122044,52.8472,-114.5,1510,1193,3,64,665000,10,10
3,2.18,1973,12191,1.49,1,1,3,7,1710,220,122030,52.78,-114.41,2246,17334,2,66,604183,48,44
3,2.0,1760,43575,1.0,0,0,3,7,1160,600,122062,52.5865,-114.13,1760,46038,1,71,322000,36,36
3,2.24,2105,18065,1.49,1,1,3,7,1703,306,122034,52.8,-114.41,2043,13805,2,65,912196,58,44
3,2.05,2103,3938,1.5,1,1,3,7,1888,253,122031,52.8,-114.43,2287,12776,2,64,904640,53,50
5,3.5,3220,8000,2.0,0,0,3,9,2900,320,122010,52.9134,-114.39,2100,9680,1,54,1210000,16,16
3,1.87,1903,9829,1.57,1,1,3,7,1834,385,122028,52.82,-114.39,1983,5425,2,65,668926,53,45
3,2.0,1850,16535,1.0,0,0,3,7,1850,0,122041,52.8865,-114.102,1528,13295,2,77,265000,32,32
3,2.25,2110,7279,1.0,0,0,4,9,2110,0,122010,52.8969,-114.36,2130,7279,2,67,716125,40,40
3,2.5,2029,3906,2.0,0,0,3,9,2029,0,122040,52.571,-114.37,2029,3920,1,59,384435,10,10
3,1.88,2093,16264,1.44,1,1,3,7,1831,346,122037,52.77,-114.35,2041,10577,2,64,845502,47,48
